id,type,area,lat,lon
MURRAY_6_N015,LOAD,CA,32.79087756459772,-117.0231465417713
MUR_LNODEXF1,LOAD,PSE,47.65,-122.524167
MUSLSLGH_6_N001,LOAD,CA,36.264507,-119.907357
MVW_LNODEXF1,LOAD,PSE,47.339444,-122.311111
MWD_LNODEXF1,LOAD,PSE,47.566944,-122.22
MWD_LNODE_20,LOAD,EPE,31.768826439617897,-106.23276042019195
MWD_LNODE_21,LOAD,EPE,31.7686457825163,-106.2327604203994
MWD_LNODE_22,LOAD,EPE,31.7686457825163,-106.23297291293393
MWD_LNODE_23,LOAD,EPE,31.768826439617897,-106.2329729131414
MW_LNODE10A,LOAD,APS,33.638835,-112.272605
MW_LNODE12A,LOAD,APS,33.63883499995308,-112.27249706136071
MW_LNODE13A,LOAD,APS,33.63874513607484,-112.27249706147336
MW_LNODE14A,LOAD,APS,33.638681592760086,-112.27257338556082
MW_LNODER1A,LOAD,APS,33.63866639658196,-112.27267976952552
MW_LNODER2A,LOAD,APS,33.63869752107394,-112.27278102710117
MW_LNODER4A,LOAD,APS,33.63876306049607,-112.27285487581592
MW_LNODER5A,LOAD,APS,33.63884798964908,-112.27289015229057
MW_LNODER6A,LOAD,APS,33.63893771931735,-112.27288425530918
MW_LNODER9A,LOAD,APS,33.63901991795565,-112.2728406340178
MX_LNODEMR1,LOAD,APS,32.769565,-112.817259
MYS 138_LNODE-3,LOAD,NV,36.08716829912286,-115.1872709
MYS 138_LNODEBK1,LOAD,NV,36.087087720424805,-115.18721333185077
MYS138_LNODE-2,LOAD,NV,36.087087720424805,-115.18732846814923
MYSTIC_7_MYS1GNODE,GEN,NWMT,45.24347399998234,-109.73226636206732
MYSTIC_7_MYS2GNODE,GEN,NWMT,45.24347399998234,-109.73239363793269
MZZ_LNODE10A,LOAD,APS,34.060378639987995,-111.33441894244848
MZZ_LNODEX11,LOAD,APS,34.060378639987995,-111.33452785755152
N VAL GEO_7_UNITGNODE,GEN,NV,39.24578933859731,-120.02750209522314
N VALMY_GNODE 1,GEN,NV,40.8785,-117.152329
N VALMY_GNODE 2,GEN,NV,40.87849999993822,-117.15220939179068
NAD_LNODER1A,LOAD,APS,35.23001708480456,-111.82448571579955
NAD_LNODER2A,LOAD,APS,35.22983691509546,-111.82448571604446
NAD_LNODER4A,LOAD,APS,35.22983691509546,-111.82470628395554
NAD_LNODER6A,LOAD,APS,35.23001708480456,-111.82470628420045
NAPAVITP_LNODEINE,LOAD,BPAT,46.622762,-122.917399
NAPA_6_N003,GEN,CA,38.29535,-122.278637
NARROWS1_7_B1,GEN,CA,33.137302550634665,-116.29437805632017
NARROWS1_7_N001,LOAD,CA,33.13712344927391,-116.2943780565384
NARROWS2_7_B1,GEN,CA,33.13712344927391,-116.2945919434616
NARROWS_6_N010,LOAD,CA,33.137302550634665,-116.29459194367982
NARRO_BP_LNODESU1,LOAD,BPAT,47.289227,-122.560961
NASLP_BP_LNODEFMR,LOAD,BPAT,46.376215,-123.805529
NATNLCTY_6_N001,LOAD,CA,32.67305199998863,-117.10726576866911
NATNLCTY_6_N005,LOAD,CA,32.67305199998863,-117.10737223133088
NAT_LNODENE1,LOAD,BANC,38.65097779957077,-121.48672359559271
NAT_LNODENE2,LOAD,BANC,38.65089999994365,-121.48666608019934
NAT_LNODENE3,LOAD,BANC,38.650822200401045,-121.48672359571763
NAT_LNODENE4,LOAD,BANC,38.650822200401045,-121.48683862650437
NAT_LNODENE5,LOAD,BANC,38.65089999994365,-121.48689614202266
NAT_LNODENE6,LOAD,BANC,38.65097779957077,-121.4868386266293
NAVAJ_SR_LNODEDMS,LOAD,SRP,36.904006999986755,-111.39038874082956
NAVAJ_SR_LNODERSS,LOAD,SRP,36.904006999986755,-111.39050125917043
NAVSTMTR_6_N001,LOAD,CA,32.67041199998878,-117.11463876940559
NAVSTMTR_6_N011,LOAD,CA,32.67041199998878,-117.11474523059441
NAVY35R_1_N001,LOAD,CA,35.29,-119.45
NAVY35R_7_B1,GEN,CA,35.373056,-119.021667
NAVYII4G_7_B1,GEN,CA,36.019253724641764,-117.7917
NAVYII5G_7_B1,GEN,CA,36.019173137665334,-117.79164247559422
NAVYII6G_7_B1,GEN,CA,36.019173137665334,-117.79175752440578
NBENC_BP_LNODECH1,LOAD,BPAT,48.734676999980074,-116.29595912629163
NBENC_BP_LNODECH2,LOAD,BPAT,48.734676999980074,-116.29609487370836
NBE_LNODEXF1,LOAD,PSE,47.491944,-121.774444
NBONN_BP_LNODENIA,LOAD,BPAT,45.648127,-121.960594
NBO_LNODEXF2,LOAD,PSE,47.769722,-122.208333
NBRANCH_6_N001,LOAD,CA,38.199837,-120.719506
NBRG_LNODEWR1,LOAD,PGE,45.298599999982265,-122.97503631918512
NBRG_LNODEWR2,LOAD,PGE,45.298599999982265,-122.97516368081487
NBRKN_BP_LNODEOOK,LOAD,BPAT,42.082035,-124.312544
NBUTT_BP_LNODECPI,LOAD,BPAT,44.420465,-122.671762
NCA1_GNODEIT,GEN,NV,36.34337,-114.92113
NCA2_GNODEIT,GEN,NV,36.225352,-114.878085
NCAMA_BP_LNODEMAS,LOAD,BPAT,45.604,-122.37
NCENEX_LNODEOAD,LOAD,NWMT,47.301915,-110.75699
NCMETER_1_N001,LOAD,CA,33.089572,-117.203236
NCPA1GY1_7_B2,GEN,CA,38.329999999986036,-122.62994255786647
NCPA1GY1_7_N001,LOAD,CA,38.329999999986036,-122.63005744213352
NCPA1GY2_7_B2,GEN,CA,38.33999999998601,-122.63994255546396
NCPA1GY2_7_N001,LOAD,CA,38.33999999998601,-122.64005744453604
NCPA2GY1_7_B2,GEN,CA,38.34999999998599,-122.6499425530918
NCPA2GY1_7_N001,LOAD,CA,38.34999999998599,-122.65005744690819
NCPA2GY2_7_B2,GEN,CA,38.329999999986036,-122.67994255786648
NCPA2GY2_7_N001,LOAD,CA,38.329999999986036,-122.68005744213352
NCW_1_NINECNYN_BPASHAREGNODE,GEN,BPAT,48.5439785506836,-121.74124626386572
NDUBLIN_2_N002,LOAD,CA,37.86,-121.88
NEELY_SR_LNODELD2,LOAD,SRP,33.33134899998845,-111.80628835970751
NEELY_SR_LNODELD3,LOAD,SRP,33.33134899998845,-111.8063956402925
NEENACH_6_N008,GEN,CA,34.312271,-118.481634
NELLIS_LNODE-1,LOAD,NV,36.24586954271601,-115.0463329718721
NELLIS_LNODE-2,LOAD,NV,36.24569045718144,-115.04633297212652
NELLIS_LNODE-3,LOAD,NV,36.24569045718144,-115.04655502787347
NELLIS_LNODEFB,LOAD,NV,36.24586954271601,-115.04655502812788
NELSON_1_1LNODE,LOAD,AVA,47.65278867,-117.2688628
NELSON_LNODE-1,LOAD,NV,35.707808,-114.824876
NEORBLF_7_B1,GEN,CA,40.18276709746204,-122.24461006978277
NESPE_BP_LNODEYEL,LOAD,BPAT,48.128802,-118.975171
NEWARKD_1_N001,LOAD,CA,37.50049924095103,-121.987091
NEWARKD_1_N012,LOAD,CA,37.500417879509776,-121.98703179018516
NEWARKD_1_N126,GEN,CA,37.500417879509776,-121.98715020981484
NEWBERG_LNODEOAD,LOAD,NWMT,47.134815,-113.597176
NEWBURG_6_N001,LOAD,CA,40.59455299998477,-124.13512748525541
NEWBURG_6_N003,LOAD,CA,40.59455299998477,-124.13524651474458
NEWCSTLE_7_B1,GEN,CA,38.835182,-121.092982
NEWELL_LNODEWELL,LOAD,PNM,41.888139999984205,-121.37832971620207
NEWHALL_1_N001,LOAD,CA,36.86718099998678,-120.32825478878492
