PNODE_ID,AS_ID_1,AS_ID_2,AS_ID_extra_count,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Derived_Zone
PGEB_2_PDRP30-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP30,,24M3_DB127,2024-03-20T00:00:00,3104,NP15
PGEB_2_PDRP31-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP31,,24M3_DB127,2024-03-20T00:00:00,3105,NP15
PGEB_2_PDRP34-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP34,,24M3_DB127,2024-03-20T00:00:00,3106,NP15
PGEB_2_PDRP35-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP35,,24M3_DB127,2024-03-20T00:00:00,3107,NP15
PGEB_2_PDRP36-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP36,,24M3_DB127,2024-03-20T00:00:00,3108,NP15
PGEB_2_PDRP37-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP37,,24M3_DB127,2024-03-20T00:00:00,3109,NP15
PGEB_2_PDRP40-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP40,,24M3_DB127,2024-03-20T00:00:00,3110,NP15
PGEB_2_PDRP41-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP41,,24M3_DB127,2024-03-20T00:00:00,3111,NP15
PGEB_2_PDRP42-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP42,,24M3_DB127,2024-03-20T00:00:00,3112,NP15
PGEB_2_PDRP43-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP43,,24M3_DB127,2024-03-20T00:00:00,3113,NP15
PGEB_2_PDRP44-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP44,,24M3_DB127,2024-03-20T00:00:00,3114,NP15
PGEB_2_PDRP45-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP45,,24M3_DB127,2024-03-20T00:00:00,3115,NP15
