X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-118.58046829014,34.457759050303,"1615",SS1909,Lockheed, ,Operational,SCE,SCE,L, ,,YES,,,,,33kV to 92kV,Valencia,Los Angeles,"91355",CA, 
-122.039314668394,37.4186755999817,"1616",SS1910,Moffet Field, ,Operational,WAPA,WAPA,M, ,,,YES,,,,110kV to 161kV,Mountain View,Santa Clara,"94035",CA, 
-121.950888702359,37.3765086873397,"1617",SS1912,Kifer, ,Operational,Other,Other,M, ,,YES,YES,,,,110kV to 161kV,Santa Clara,Santa Clara,"95054",CA, 
-121.976269650711,37.3709925451325,"1618",SS1913,Santa Clara, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Santa Clara,Santa Clara,"95051",CA, 
-121.954183913629,37.3770882030007,"1619",SS1914,Scott, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,Santa Clara,Santa Clara,"95054",CA, 
-121.889885311762,37.259956280835,"1620",SS1915,Almaden, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,San Jose,Santa Clara,"95118",CA, 
-122.066403509911,37.4176253267874,"1621",SS1916,Ames, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Mountain View,Santa Clara,"94035",CA, 
-121.832941976995,37.2024263289481,"1622",SS1917,Calero, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95120",CA, 
-121.795052317287,37.2445586509675,"1623",SS1918,Edenvale, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95123",CA, 
-121.935752824428,37.2920274563263,"1624",SS1919,El Patio, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Campbell,Santa Clara,"95008",CA, 
-121.840097882867,37.3033193181877,"1625",SS1920,Evergreen, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95111",CA, 
-121.912630159424,37.3541005922643,"1626",SS1922,Gish, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95110",CA, 
-121.90105523542,37.2337085167257,"1627",SS1923,Hicks, ,Operational,PG&E,PG&E,M, ,,YES,YES,YES,,,220kV to 287kV,San Jose,Santa Clara,"95124",CA, 
-121.854738452885,37.3342627854361,"1628",SS1924,Lsi Jennings, ,Operational,Other,Other,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95122",CA, 
-122.010316391596,37.3972011957658,"1629",SS1925,Lawrence, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Sunnyvale,Santa Clara,"94089",CA, 
-121.557231326254,37.0072579932731,"1630",SS1926,Llagas, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Gilroy,Santa Clara,"95020",CA, 
-122.114711873284,37.3938395124097,"1631",SS1927,Los Altos, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Los Altos,Santa Clara,"94022",CA, 
-122.099695264026,37.3610534440519,"1632",SS1929,Loyola, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Los Altos,Santa Clara,"94024",CA, 
-121.864144521268,37.360810223252,"1633",SS1930,Mabury, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95133",CA, 
-121.878163041862,37.33626730174,"1634",SS1931,Markham, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95192",CA, 
-121.843339392319,37.3662484571389,"1635",SS1932,Mc Kee, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95116",CA, 
-121.888359506419,37.4153775329945,"1636",SS1934,Milpitas, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Milpitas,Santa Clara,"95035",CA, 
-121.90597734601,37.4033277476498,"1637",SS1935,Montague, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95131",CA, 
-122.075412985976,37.3264027330572,"1638",SS1936,Monta Vista (Upper), ,Operational,PG&E,PG&E,M, ,,YES,YES,YES,,,220kV to 287kV,Cupertino,Santa Clara,"95014",CA, 
-121.658890004207,37.1266956179535,"1639",SS1937,Morgan Hill, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Morgan Hill,Santa Clara,"95037",CA, 
-122.069706324436,37.3826033994572,"1640",SS1938,Mt. View, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Mountain View,Santa Clara,"94041",CA, 
-121.902391905785,37.3281603641052,"1641",SS1939,San Jose Sta. A, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95110",CA, 
-121.901511912674,37.3409590697502,"1642",SS1940,San Jose Sta. B, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95110",CA, 
-122.01520671867,37.2810316945113,"1643",SS1941,Saratoga, ,Operational,PG&E,PG&E,M, ,,YES,,YES,,,220kV to 287kV,Saratoga,Santa Clara,"95070",CA, 
-121.844736901912,37.3004905317783,"1644",SS1942,Senter, ,Closed,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95111",CA, 
-122.043163903195,37.3359900805234,"1645",SS1943,Stelling, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Sunnyvale,Santa Clara,"94087",CA, 
-121.867702909137,37.3039990508466,"1646",SS1944,Stone, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95125",CA, 
-121.796946918807,37.3225630681377,"1647",SS1945,Swift, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95148",CA, 
-121.927229515243,37.382057106725,"1648",SS1946,Trimble, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,San Jose,Santa Clara,"95131",CA, 
-122.068539656383,37.4049922844585,"1649",SS1947,Whisman, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Mountain View,Santa Clara,"94043",CA, 
