Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPSLR_1_SPSSLR,CAISO System,ZP26,Alpaugh 50 LLC,0.1,0.1,0.1,0.67,2.62,19.16,29.96,10.05,20.04,0.32,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT6DN_2_WIND7,CAISO System,SP15,Pinyon Pines 1,13.8,33.32,37.32,60.11,67.79,61.74,61.52,56.82,34.89,18.68,10.85,10.63,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT6DS_2_WIND9,CAISO System,SP15,Pinyon Pines 2,11.09,26.77,29.98,48.29,54.46,49.6,49.42,45.64,28.03,15.01,8.71,8.54,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA3A_2_CPCE4,CAISO System,SP15,Alta Wind 4,8.57,20.68,23.17,37.32,42.08,38.33,38.19,35.27,21.66,11.6,6.73,6.6,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA3A_2_CPCE5,CAISO System,SP15,Alta Wind 5,14.11,34.07,38.16,61.46,69.31,63.13,62.9,58.09,35.67,19.1,11.09,10.87,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA3A_2_CPCE8,CAISO System,SP15,Alta Wind 8,12.6,30.42,34.07,54.88,61.88,56.36,56.16,51.87,31.85,17.06,9.9,9.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA4A_2_CPCW1,CAISO System,SP15,Alta Wind 1,12.6,30.42,34.07,54.88,61.88,56.36,56.16,51.87,31.85,17.06,9.9,9.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA4B_2_CPCW2,CAISO System,SP15,Alta Wind 2,12.6,30.42,34.07,54.88,61.88,56.36,56.16,51.87,31.85,17.06,9.9,9.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA4B_2_CPCW3,CAISO System,SP15,Alta Wind 3,12.6,30.42,34.07,54.88,61.88,56.36,56.16,51.87,31.85,17.06,9.9,9.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA4B_2_CPCW6,CAISO System,SP15,Mustang Hills,12.6,30.42,34.07,54.88,61.88,56.36,56.16,51.87,31.85,17.06,9.9,9.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
